mode,season,route_id,route_name,direction_id,day_type_id,day_type_name,time_period_id,time_period_name,stop_name,stop_id,total_ons,total_offs,number_service_days,average_ons,average_offs,average_flow,ObjectId
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_02,EARLY_AM,Tufts Medical Center,place-tumnl,4745,15827,77,62,206,2222,5074
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_09,NIGHT,Sullivan Square,place-sull,516,7666,77,7,100,107,5075
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_02,EARLY_AM,Wellington,place-welln,1050,11766,77,14,153,222,5076
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_09,NIGHT,Tufts Medical Center,place-tumnl,1648,281,77,21,4,145,5077
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_03,AM_PEAK,Assembly,place-astao,832,65395,77,11,849,975,5078
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_09,NIGHT,Wellington,place-welln,255,3866,77,3,50,48,5079
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_03,AM_PEAK,Back Bay,place-bbsta,144349,133138,77,1875,1729,9214,5081
1,Fall 2019,Orange,Orange Line,1,day_type_02,saturday,time_period_10,OFF_PEAK,Assembly,place-astao,6839,30945,12,570,2579,8866,5082
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_04,MIDDAY_BASE,Stony Brook,place-sbmnl,71393,3123,77,927,41,4654,5083
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_03,AM_PEAK,Community College,place-ccmnl,3820,76522,77,50,994,2476,5084
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_03,AM_PEAK,Chinatown,place-chncl,11417,39724,77,148,516,8401,5085
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_03,AM_PEAK,Downtown Crossing,place-dwnxg,146984,254655,77,1909,3307,7003,5086
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_04,MIDDAY_BASE,State Street,place-state,72299,150194,77,939,1951,6328,5087
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_03,AM_PEAK,Forest Hills,place-forhl,352753,0,77,4581,0,4581,5088
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_04,MIDDAY_BASE,Sullivan Square,place-sull,16547,71186,77,215,924,3156,5089
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_03,AM_PEAK,Green Street,place-grnst,95815,6317,77,1244,82,5744,5090
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_04,MIDDAY_BASE,Tufts Medical Center,place-tumnl,56425,42390,77,733,551,7619,5091
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_03,AM_PEAK,Haymarket,place-haecl,17819,76478,77,231,993,4800,5092
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_04,MIDDAY_BASE,Wellington,place-welln,4103,70059,77,53,910,1663,5093
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_03,AM_PEAK,Jackson Square,place-jaksn,115639,5230,77,1502,68,8501,5094
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_03,AM_PEAK,Massachusetts Ave.,place-masta,59260,49430,77,770,642,9069,5095
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Assembly,place-astao,8877,42894,77,115,557,3991,5096
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_03,AM_PEAK,Malden Center,place-mlmnl,1000,35380,77,13,459,111,5097
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_03,AM_PEAK,North Station,place-north,30864,137147,77,401,1781,3420,5098
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_03,AM_PEAK,Oak Grove,place-ogmnl,0,8525,77,0,111,0,5099
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_03,AM_PEAK,Roxbury Crossing,place-rcmnl,62668,44567,77,814,579,8736,5100
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_03,AM_PEAK,Ruggles,place-rugg,70612,54815,77,917,712,8941,5101
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_03,AM_PEAK,Stony Brook,place-sbmnl,104197,2288,77,1353,30,7067,5102
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_03,AM_PEAK,State Street,place-state,54729,165700,77,711,2152,5562,5103
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_03,AM_PEAK,Sullivan Square,place-sull,13044,63995,77,169,831,1814,5104
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_03,AM_PEAK,Tufts Medical Center,place-tumnl,23852,58144,77,310,755,8769,5105
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_03,AM_PEAK,Wellington,place-welln,1840,34046,77,24,442,557,5106
1,Fall 2019,Orange,Orange Line,1,day_type_02,saturday,time_period_10,OFF_PEAK,Back Bay,place-bbsta,44195,21537,12,3683,1795,12947,5107
1,Fall 2019,Orange,Orange Line,1,day_type_02,saturday,time_period_10,OFF_PEAK,Community College,place-ccmnl,4012,21855,12,334,1821,13499,5109
